id	effectiveTime	active	moduleId	conceptId	languageCode	typeId	term	caseSignificanceId
101013	20170731	1	900000000000207008	126013009	en	900000000000013009	Neoplasm of anterior aspect of epiglottis	900000000000448009
102018	20170731	1	900000000000207008	126037009	en	900000000000013009	Neoplasm of junctional region of epiglottis	900000000000448009
103011	20170731	1	900000000000207008	126062009	en	900000000000550004	Neoplasm of lateral wall of oropharynx	900000000000448009
104017	20170731	1	900000000000207008	126063004	en	900000000000013009	Neoplasm of posterior wall of oropharynx	900000000000448009
105016	20170731	0	900000000000207008	126064005	en	900000000000550004	Neoplasm of esophagus	900000000000448009
106015	20170731	1	900000000000207008	126065006	en	900000000000013009	Neoplasm of cervical esophagus	900000000000448009
107012	20170731	1	900000000000207008	126066007	en	900000000000003001	Neoplasm of thoracic esophagus	900000000000448009
108019	20170731	1	900000000000207008	126067003	en	900000000000013009	Neoplasm of abdominal esophagus	900000000000448009
110017	20170731	1	900000000000207008	126068008	en	900000000000013009	Neoplasm of middle third of esophagus	900000000000448009
111018	20170731	1	900000000000207008	126069000	en	900000000000550004	Neoplasm of lower third of esophagus	900000000000448009
112013	20170731	1	900000000000207008	126070004	en	900000000000013009	Neoplasm of stomach	900000000000448009
113015	20170731	1	900000000000207008	126071000	en	900000000000003001	Neoplasm of cardia of stomach	900000000000448009
114014	20170731	1	900000000000207008	126071000	en	900000000000013009	Neoplasm of fundus of stomach	900000000000448009
115010	20170731	1	900000000000207008	126071000	en	900000000000003001	Neoplasm of body of stomach	900000000000448009
113055	20170731	1	900000000000207008	126071000	en	900000000000013009	Neoplasm of greater	900000000000448009
116011	20170731	0	900000000000207008	126071000	en	900000000000550004	Neoplasm of lesser curvature of stomach	900000000000448009
117019	20170731	1	900000000000207008	126070004	en	900000000000013009	Neoplasm of greater curvature of stomach	900000000000448009
